DATE,PRODUCT_ID,PRODUCT_NAME,PRICE,VAT,EXCISE,NET
1996/01/01,1,Euro-Super 95,904.18,144.37,525.77,234.05
1996/02/02,1,Euro-Super 95,907.09,144.83,527.96,234.3
1996/03/03,1,Euro-Super 95,917.83,146.54,527.96,243.32
1996/04/04,1,Euro-Super 95,931.48,148.72,527.96,254.79
1996/05/05,1,Euro-Super 95,929.94,148.48,527.96,253.5
1996/06/06,1,Euro-Super 95,924.06,147.54,527.96,248.56
1996/07/07,1,Euro-Super 95,924.72,147.65,527.96,249.11
1996/08/08,1,Euro-Super 95,926.01,147.85,527.96,250.19
1996/09/09,1,Euro-Super 95,926.39,147.91,527.96,250.51
1996/10/10,1,Euro-Super 95,929.26,148.37,527.96,252.92
1996/11/11,1,Euro-Super 95,939.44,149.99,527.96,261.48
1996/12/12,1,Euro-Super 95,936.32,149.5,527.96,258.86
1997/01/01,1,Euro-Super 95,938.82,149.9,527.96,260.96
1997/02/02,1,Euro-Super 95,942.26,150.45,527.96,263.85
1997/03/03,1,Euro-Super 95,944.48,150.8,527.96,265.72
1997/04/04,1,Euro-Super 95,939.78,150.05,527.96,261.77
1997/05/05,1,Euro-Super 95,939.35,149.98,527.96,261.41
1997/06/06,1,Euro-Super 95,940.8,150.21,527.96,262.62
1997/07/07,1,Euro-Super 95,939.19,149.95,527.96,261.27
1997/08/08,1,Euro-Super 95,947.07,151.21,527.96,267.89
1997/09/09,1,Euro-Super 95,945.2,150.91,527.96,266.33
1997/10/10,1,Euro-Super 95,947.57,156.86,527.96,262.74
1997/11/11,1,Euro-Super 95,946.48,157.75,527.96,260.77
1997/12/12,1,Euro-Super 95,935.79,155.96,527.96,251.86
1998/01/01,1,Euro-Super 95,930.69,155.11,527.96,247.61
1998/02/02,1,Euro-Super 95,925.88,154.31,527.96,243.6
1998/03/03,1,Euro-Super 95,912.41,152.07,527.96,232.38
1998/04/04,1,Euro-Super 95,908.6,151.43,527.96,229.2
1998/05/05,1,Euro-Super 95,912.36,152.06,527.96,232.34
1998/06/06,1,Euro-Super 95,912.03,152.01,527.96,232.06
1998/07/07,1,Euro-Super 95,913.33,152.22,527.96,233.14
1998/08/08,1,Euro-Super 95,909.71,151.62,527.96,230.13
1998/09/09,1,Euro-Super 95,906.38,151.06,527.96,227.35
1998/10/10,1,Euro-Super 95,904.22,150.7,527.96,225.55
1998/11/11,1,Euro-Super 95,897.64,149.61,527.96,220.07
